,0,1,2,3,4,5,6,7,8,9
0,0.2799272545695813,0.2799272545695813,0.2799272545695813,0.022977828306135848,0.022977828306135848,0.022977828306135848,0.022977828306135848,0.022977828306135848,0.022977828306135848,0.022977828306135848
1,0.26480868218738474,0.26480868218738474,0.26480868218738474,0.07331539256326934,0.02173682031294793,0.02173682031294793,0.02173682031294793,0.02173682031294793,0.02173682031294793,0.02173682031294793
2,0.2207539658726166,0.22075396587261661,0.22075396587261661,0.2207539658726167,0.018120588984873936,0.018120588984873936,0.018120588984873943,0.018120588984873943,0.018120588984873936,0.018120588984873936
3,0.10188100735420264,0.10188100735420258,0.10188100735420258,0.293254793906245,0.293254793906245,0.025228408744635906,0.024071819354245846,0.024071819354245846,0.024071819354245846,0.024071819354245842
4,0.022988514926892654,0.022988514926892654,0.022988514926892658,0.2800574442624114,0.28005744426241147,0.2800574442624114,0.022988514926892658,0.022988514926892654,0.022988514926892654,0.022988514926892658
5,0.02273302807328963,0.02273302807328963,0.02273302807328963,0.02273302807328963,0.2769449772113534,0.2769449772113534,0.2769449772113534,0.02273302807328963,0.02273302807328963,0.02273302807328963
6,0.023968390781473576,0.023968390781473576,0.023968390781473576,0.023968390781473576,0.023968390781473576,0.29199477594308265,0.29199477594308265,0.10061550932232918,0.1006155093223293,0.10061550932232925
7,0.018182757131582867,0.018182757131582867,0.018182757131582867,0.018182757131582867,0.018182757131582867,0.018182757131582867,0.22151132894444625,0.22151132894444628,0.22151132894444628,0.22151132894444628
8,0.02168165930626089,0.02168165930626089,0.02168165930626089,0.02168165930626089,0.02168165930626089,0.02168165930626089,0.07657860621930618,0.26413668355655356,0.26413668355655356,0.26413668355655356
9,0.023074739796715045,0.023074739796715045,0.023074739796715045,0.023074739796715045,0.023074739796715045,0.023074739796715045,0.023074739796715045,0.28110787821828515,0.28110787821828515,0.28110787821828515
