,a_grid
0,-0.35000000000000003
1,-0.30000000000000004
2,-0.25
3,-0.2
4,-0.15000000000000002
5,-0.1
6,-0.05
7,0.0
8,0.05
9,0.1
10,0.15000000000000002
11,0.2
12,0.25
13,0.30000000000000004
14,0.35000000000000003
15,0.4
16,0.45
17,0.5
18,0.55
19,0.6000000000000001
20,0.65
21,0.7000000000000001
22,0.75
23,0.8
24,0.8500000000000001
25,0.9
26,0.9500000000000001
27,1.0
28,1.05
29,1.1
30,1.1500000000000001
31,1.2000000000000002
32,1.25
33,1.3
